District,U/R,CPN,Discp.
4,2,75.84,7
4,2,70.643,3
4,2,66.381,16
4,2,66.32600000000001,5
4,2,66.241,6
4,2,66.002,16
4,1,81.265,5
4,1,78.64699999999998,3
4,1,75.22399999999998,7
4,1,75.167,1
4,1,74.471,1
4,1,74.385,22
4,1,74.311,7
4,1,72.753,7
4,1,72.483,22
4,1,72.286,7
4,1,71.37100000000002,4
4,1,71.227,3
4,1,71.112,7
4,1,71.096,1
4,1,70.86,5
4,1,69.843,1
4,1,69.009,23
4,1,68.995,3
4,1,68.683,23
4,1,68.569,3
4,1,68.146,4
4,1,67.794,3
4,1,67.587,4
4,1,67.442,3
4,1,67.051,4
4,1,66.747,4
4,1,66.449,4
4,1,65.90100000000001,5
4,1,65.898,5
4,1,65.73,18
4,1,65.339,18
4,1,65.331,15
4,1,65.2,16
4,1,65.16,2
4,1,64.64,6
4,1,64.407,2
4,1,64.227,18
4,1,64.066,6
4,1,63.913,2
4,1,63.846,6
4,1,63.774,15
4,1,62.889,2
4,1,62.54600000000001,8
4,1,62.419,2
4,1,62.22,15
4,1,62.025,8
4,1,61.997,8
4,1,61.982,24
4,1,61.971,17
4,1,61.515,9
4,1,61.36,13
4,1,61.294,24
4,1,60.999,8
4,1,60.688,21
4,1,60.639,13
4,1,60.622,17
4,1,60.50100000000001,13
4,1,60.262,17
4,1,60.225,20
4,1,60.148,19
4,1,60.106,10
4,1,59.84,14
4,1,59.76,19
4,1,59.752,10
4,1,59.74800000000001,19
4,1,59.729,14
5,2,80.85300000000002,1
5,2,80.043,1
5,2,75.98899999999998,3
5,2,75.971,22
5,2,74.803,4
5,2,71.916,23
5,2,71.82300000000002,3
5,2,70.688,18
5,2,69.07,11
5,2,68.098,21
5,2,67.634,2
5,2,66.533,19
5,1,80.95100000000002,7
5,1,78.766,7
5,1,77.919,7
5,1,77.913,7
5,1,77.797,7
5,1,77.485,4
5,1,76.919,1
5,1,76.236,4
5,1,76.032,4
5,1,75.245,4
5,1,74.69,12
5,1,74.36,3
5,1,73.917,6
5,1,73.903,1
5,1,73.518,3
5,1,72.92399999999998,3
5,1,72.92,3
5,1,72.242,6
5,1,71.818,3
5,1,71.723,23
5,1,71.705,16
5,1,71.407,5
5,1,71.348,6
5,1,71.311,18
5,1,71.01,16
5,1,70.928,1
5,1,70.623,16
5,1,70.555,1
5,1,69.415,5
5,1,69.39699999999999,19
5,1,68.943,9
5,1,68.808,24
5,1,68.634,2
5,1,68.509,2
5,1,68.503,24
5,1,68.378,20
5,1,68.096,2
5,1,68.068,2
5,1,67.502,10
5,1,67.484,17
5,1,67.40899999999999,13
5,1,67.226,10
5,1,66.939,14
5,1,66.911,8
5,1,66.214,15
5,1,65.762,8
5,1,65.742,20
5,1,65.742,17
5,1,65.726,14
5,1,65.619,15
5,1,65.48899999999999,15
5,1,65.286,14
5,1,65.167,19
8,2,78.942,11
8,2,69.664,10
8,2,68.99,8
8,2,66.955,19
8,1,81.96,3
8,1,81.881,4
8,1,81.57,7
8,1,81.472,12
8,1,78.76899999999998,12
8,1,77.983,16
8,1,77.57600000000002,6
8,1,77.45,12
8,1,77.134,16
8,1,75.454,6
8,1,74.34899999999998,22
8,1,74.34100000000002,23
8,1,74.04,18
8,1,73.798,12
8,1,73.71600000000002,1
8,1,73.345,12
8,1,72.508,11
8,1,72.413,9
8,1,72.375,1
8,1,72.283,18
8,1,72.127,9
8,1,72.111,9
8,1,71.961,9
8,1,71.54899999999998,5
8,1,71.476,11
8,1,71.459,5
8,1,71.363,11
8,1,71.17,20
8,1,70.833,11
8,1,70.797,20
8,1,70.536,21
8,1,70.482,15
8,1,70.22399999999999,24
8,1,70.089,21
8,1,70.086,2
8,1,69.926,13
8,1,69.876,13
8,1,69.813,10
8,1,69.67699999999999,2
8,1,69.61399999999999,10
8,1,69.515,15
8,1,69.455,14
8,1,69.084,20
8,1,68.999,21
8,1,68.738,21
8,1,68.509,19
8,1,68.46,8
8,1,68.307,19
8,1,68.148,17
2,2,83.51899999999998,7
2,2,82.588,3
2,2,81.181,7
2,2,81.05,1
2,2,79.717,4
2,2,79.445,1
2,2,77.109,3
2,2,77.097,3
