District,U/R,CPN,Discp.
Badin,U,75.840,CE
Badin,U,70.643,ME
Badin,U,66.381,CH
Badin,U,66.326,CS
Badin,U,66.241,ES
Badin,U,66.002,CH
Badin,R,81.265,CS
Badin,R,80.262,CE-T
Badin,R,78.647,ME
Badin,R,75.224,CE
Badin,R,75.167,SW
Badin,R,74.471,SW
Badin,R,74.385,BM
Badin,R,74.311,CE
Badin,R,72.753,CE
Badin,R,72.483,BM
Badin,R,72.286,CE
Badin,R,71.371,EL
Badin,R,71.227,ME
Badin,R,71.112,CE
Badin,R,71.096,SW
Badin,R,70.860,CS
Badin,R,69.843,SW
Badin,R,69.009,MTE
Badin,R,68.995,ME
Badin,R,68.683,MTE
Badin,R,68.569,ME
Badin,R,68.146,EL
Badin,R,67.968,SW-P
Badin,R,67.794,ME
Badin,R,67.587,El
Badin,R,67.442,ME
Badin,R,67.051,EL
Badin,R,66.747,EL
Badin,R,66.449,El
Badin,R,65.901,CS
Badin,R,65.898,CS
Badin,R,65.730,PG
Badin,R,65.339,PG
Badin,R,65.331,IN
Badin,R,65.200,CH
Badin,R,65.160,TL
Badin,R,64.640,ES
Badin,R,64.407,TL
Badin,R,64.227,PG
Badin,R,64.066,ES
Badin,R,63.913,TL
Badin,R,63.846,ES
Badin,R,63.774,IN
Badin,R,62.889,TL
Badin,R,62.693,CE-K-P
Badin,R,62.546,TE
Badin,R,62.419,TL
Badin,R,62.410,ME-K-P
Badin,R,62.220,IN
Badin,R,62.025,TE
Badin,R,61.997,TE
Badin,R,61.982,EE
Badin,R,61.971,MN
Badin,R,61.515,EL-K
Badin,R,61.360,AR
Badin,R,61.294,EE
Badin,R,60.999,TE
Badin,R,60.688,SW-K
Badin,R,60.639,AR
Badin,R,60.622,MN
Badin,R,60.501,AR
Badin,R,60.262,MN
Badin,R,60.225,ES-K
Badin,R,60.148,MT
Badin,R,60.106,PG-K
Badin,R,59.840,CRP
Badin,R,59.760,MT
Badin,R,59.752,PG-K
Badin,R,59.748,MT
Badin,R,59.729,CRP
Badin,R,59.407,CRP-P
Dadu,U,80.853,SW
Dadu,U,80.043,SW
Dadu,U,75.989,ME
Dadu,U,75.971,BM
Dadu,U,74.803,EL
Dadu,U,71.916,MTE
Dadu,U,71.823,ME
Dadu,U,70.688,PG
Dadu,U,69.070,ME-K
Dadu,U,68.098,SW-K
Dadu,U,67.634,TL
Dadu,U,66.533,MT
Dadu,R,83.903,CE-L
Dadu,R,80.951,CE
Dadu,R,78.766,CE
Dadu,R,77.919,CE
Dadu,R,77.913,CE
Dadu,R,77.797,CE
Dadu,R,77.485,EL
Dadu,R,76.919,SW
Dadu,R,76.236,EL
Dadu,R,76.049,EL-P
Dadu,R,76.032,EL
Dadu,R,75.245,EL
Dadu,R,74.690,CE-K
Dadu,R,74.360,ME
Dadu,R,73.917,ES
Dadu,R,73.903,SW
Dadu,R,73.518,ME
Dadu,R,72.924,ME
Dadu,R,72.920,ME
Dadu,R,72.242,ES
Dadu,R,71.818,ME
Dadu,R,71.723,MTE
Dadu,R,71.705,CH
Dadu,R,71.576,ES-P
Dadu,R,71.407,CS
Dadu,R,71.348,ES
Dadu,R,71.311,PG
Dadu,R,71.010,CH
Dadu,R,70.928,SW
Dadu,R,70.623,CH
Dadu,R,70.555,SW
Dadu,R,69.415,CS
Dadu,R,69.397,MT
Dadu,R,68.943,EL-K
Dadu,R,68.909,CS-P
Dadu,R,68.808,EE
Dadu,R,68.634,TL
Dadu,R,68.509,TL
Dadu,R,68.503,EE
Dadu,R,68.378,ES-K
Dadu,R,68.096,TL
Dadu,R,68.068,TL
Dadu,R,67.582,AR-P
Dadu,R,67.502,PG-K
Dadu,R,67.484,MN
Dadu,R,67.409,AR
Dadu,R,67.346,BM-P
Dadu,R,67.226,PG-K
Dadu,R,66.939,CRP
Dadu,R,66.911,TE
Dadu,R,66.836,TE-P
Dadu,R,66.696,TE-P
Dadu,R,66.214,IN
Dadu,R,65.762,TE
Dadu,R,65.742,ES-K
Dadu,R,65.742,MN
Dadu,R,65.726,CRP
Dadu,R,65.619,IN
Dadu,R,65.489,IN
Dadu,R,65.286,CRP
Dadu,R,65.198,MN-P
Dadu,R,65.167,MT
Ghotki,U,78.942,ME-K
Ghotki,U,69.694,TL-P
Ghotki,U,69.664,PG-K
Ghotki,U,68.990,TE
Ghotki,U,66.955,MT
Ghotki,R,81.960,ME
Ghotki,R,81.881,EL
Ghotki,R,81.570,CE
Ghotki,R,81.472,CE-K
Ghotki,R,78.769,CE-K
Ghotki,R,77.983,CH
Ghotki,R,77.576,ES
Ghotki,R,77.450,CE-K
Ghotki,R,77.134,CH
Ghotki,R,75.454,ES
Ghotki,R,74.349,BM
Ghotki,R,74.341,MTE
Ghotki,R,74.040,PG
Ghotki,R,73.798,CE-K
Ghotki,R,73.716,SW
Ghotki,R,73.345,CE-K
Ghotki,R,72.508,ME-K
Ghotki,R,72.413,EL-K
Ghotki,R,72.375,SW
Ghotki,R,72.283,PG
Ghotki,R,72.127,EL-K
Ghotki,R,72.111,EL-K
Ghotki,R,71.961,EL-K
Ghotki,R,71.549,CS
Ghotki,R,71.476,ME-K
Ghotki,R,71.459,CS
Ghotki,R,71.363,ME-K
Ghotki,R,71.170,ES-K
Ghotki,R,70.833,ME-K
Ghotki,R,70.797,ES-K
Ghotki,R,70.536,SW-K
Ghotki,R,70.482,IN
Ghotki,R,70.224,EE
Ghotki,R,70.089,SW-K
Ghotki,R,70.086,TL
Ghotki,R,69.926,AR
Ghotki,R,69.876,AR
Ghotki,R,69.813,PG-K
Ghotki,R,69.677,TL
Ghotki,R,69.614,PG-K
Ghotki,R,69.515,IN
Ghotki,R,69.455,CRP
Ghotki,R,69.084,ES-K
Ghotki,R,68.999,SW-K
Ghotki,R,68.814,PG-K-P
Ghotki,R,68.738,SW-K
Ghotki,R,68.509,MT
Ghotki,R,68.460,TE
Ghotki,R,68.307,MT
Ghotki,R,68.148,MN
Hyderabad,U,83.519,CE
Hyderabad,U,82.588,ME
Hyderabad,U,81.181,CE
Hyderabad,U,81.050,SW
Hyderabad,U,79.717,EL
Hyderabad,U,79.445,SW
Hyderabad,U,77.109,ME
Hyderabad,U,77.097,ME
Hyderabad,U,77.027,CS
Hyderabad,U,76.707,ME
Hyderabad,U,76.622,SW
Hyderabad,U,76.501,CS
Hyderabad,U,76.431,ME
Hyderabad,U,76.187,AR
Hyderabad,U,76.033,TL
Hyderabad,U,75.980,ME
Hyderabad,U,75.855,CH
Hyderabad,U,75.800,SW
Hyderabad,U,75.687,EL
Hyderabad,U,75.555,EL
Hyderabad,U,75.263,EL
Hyderabad,U,75.112,CE
Hyderabad,U,75.090,CE
Hyderabad,U,74.947,SW
Hyderabad,U,74.841,CE
Hyderabad,U,74.836,EL
Hyderabad,U,74.799,EL
Hyderabad,U,74.706,MTE
Hyderabad,U,74.684,BM
Hyderabad,U,74.514,CH
Hyderabad,U,74.443,SW
Hyderabad,U,74.351,ES
Hyderabad,U,74.349,ES
Hyderabad,U,74.139,CS
Hyderabad,U,74.066,ES
Hyderabad,U,74.017,ES
Hyderabad,U,73.991,ES
Hyderabad,U,73.960,TE
Hyderabad,U,73.943,CS-P
Hyderabad,U,73.820,ES
Hyderabad,U,73.793,CS
Hyderabad,U,73.751,CS
Hyderabad,U,73.745,CS
Hyderabad,U,73.735,CS
Hyderabad,U,73.574,PG-P
Hyderabad,U,73.527,EE-P
Hyderabad,U,73.513,TL-P
Hyderabad,U,73.489,MTE
Hyderabad,U,73.283,TL
Hyderabad,U,73.254,MTE
Hyderabad,U,72.979,TL
Hyderabad,U,72.749,TL
Hyderabad,U,72.729,TL
Hyderabad,U,72.521,PG
Hyderabad,U,72.457,TL
Hyderabad,U,72.311,AR
Hyderabad,U,72.234,AR
Hyderabad,U,72.197,BM
Hyderabad,U,72.051,TE
Hyderabad,U,71.617,MT-P
Hyderabad,U,71.489,IN-P
Hyderabad,U,71.426,EL-K
Hyderabad,U,71.200,IN
Hyderabad,U,71.193,IN
Hyderabad,U,71.083,TE
Hyderabad,U,70.980,CE-K
Hyderabad,U,70.937,TE
Hyderabad,U,70.910,IN
Hyderabad,U,70.789,CRP
Hyderabad,U,70.767,MN
Hyderabad,U,70.710,EE
Hyderabad,U,70.695,ME-K
Hyderabad,U,70.610,ME-K
Hyderabad,U,70.583,CRP
Hyderabad,U,70.545,CRP
Hyderabad,U,70.506,MT-P
Hyderabad,U,70.479,CRP
Hyderabad,U,70.378,ES-K
Hyderabad,U,70.243,SW-K
Hyderabad,U,70.226,CE-K
Hyderabad,U,70.047,EL-K
Hyderabad,R,82.171,CE
Hyderabad,R,78.850,SW
Hyderabad,R,77.958,ME
