District,U/R,CPN,Discp.
BADIN,U,75.84,CE
BADIN,U,70.643,ME
BADIN,U,66.381,CH
BADIN,U,66.32600000000001,CS
BADIN,U,66.241,ES
BADIN,U,66.002,CH
BADIN,R,81.265,CS
BADIN,R,78.64699999999999,ME
BADIN,R,75.22399999999999,CE
BADIN,R,75.167,SW
BADIN,R,74.471,SW
BADIN,R,74.385,BM
BADIN,R,74.311,CE
BADIN,R,72.753,CE
BADIN,R,72.483,BM
BADIN,R,72.286,CE
BADIN,R,71.37100000000001,EL
BADIN,R,71.227,ME
BADIN,R,71.112,CE
BADIN,R,71.096,SW
BADIN,R,70.86,CS
BADIN,R,69.843,SW
BADIN,R,69.009,MTE
BADIN,R,68.995,ME
BADIN,R,68.683,MTE
BADIN,R,68.569,ME
BADIN,R,68.146,EL
BADIN,R,67.794,ME
BADIN,R,67.587,EL
BADIN,R,67.442,ME
BADIN,R,67.051,EL
BADIN,R,66.747,EL
BADIN,R,66.449,EL
BADIN,R,65.90100000000001,CS
BADIN,R,65.898,CS
BADIN,R,65.73,PG
BADIN,R,65.339,PG
BADIN,R,65.331,IN
BADIN,R,65.2,CH
BADIN,R,65.16,TL
BADIN,R,64.64,ES
BADIN,R,64.407,TL
BADIN,R,64.227,PG
BADIN,R,64.066,ES
BADIN,R,63.913000000000004,TL
BADIN,R,63.846000000000004,ES
BADIN,R,63.773999999999994,IN
BADIN,R,62.888999999999996,TL
BADIN,R,62.54600000000001,TE
BADIN,R,62.419,TL
BADIN,R,62.22,IN
BADIN,R,62.025,TE
BADIN,R,61.997,TE
BADIN,R,61.982,EE
BADIN,R,61.971000000000004,MN
BADIN,R,61.515,EL-K
BADIN,R,61.36,AR
BADIN,R,61.294,EE
BADIN,R,60.998999999999995,TE
BADIN,R,60.688,SW-K
BADIN,R,60.638999999999996,AR
BADIN,R,60.622,MN
BADIN,R,60.501000000000005,AR
BADIN,R,60.262,MN
BADIN,R,60.225,ES-K
BADIN,R,60.148,MT
BADIN,R,60.106,PG-K
BADIN,R,59.84,CRP
BADIN,R,59.76,MT
BADIN,R,59.751999999999995,PG-K
BADIN,R,59.748000000000005,MT
BADIN,R,59.729,CRP
DADU,U,80.85300000000001,SW
DADU,U,80.043,SW
DADU,U,75.98899999999999,ME
DADU,U,75.971,BM
DADU,U,74.803,EL
DADU,U,71.916,MTE
DADU,U,71.82300000000001,ME
DADU,U,70.688,PG
DADU,U,69.07,ME-K
DADU,U,68.098,SW-K
DADU,U,67.634,TL
DADU,U,66.533,MT
DADU,R,80.95100000000001,CE
DADU,R,78.766,CE
DADU,R,77.919,CE
DADU,R,77.913,CE
DADU,R,77.797,CE
DADU,R,77.485,EL
DADU,R,76.919,SW
DADU,R,76.236,EL
DADU,R,76.032,EL
DADU,R,75.245,EL
